fpr,tpr,threshold
0.002478106829636609,0.019585726004922067,0.8370519596197753
0.002478106829636609,0.019688269073010665,0.8370333855061697
0.0024845602328387876,0.019688269073010665,0.8370312478244903
0.0024845602328387876,0.01989335520918786,0.8368902643859439
0.002497467039243145,0.01989335520918786,0.8368457269488948
0.002497467039243145,0.019995898277276457,0.836782493762851
0.0025039204424453236,0.019995898277276457,0.8367033885104042
0.0025039204424453236,0.020098441345365054,0.8366381271105858
0.002536187458456217,0.020098441345365054,0.83633711702859
0.002536187458456217,0.02020098441345365,0.8363262431977484
0.0025813612808714675,0.02020098441345365,0.835925877928997
0.0025813612808714675,0.020406070549630846,0.835886352395796
0.002587814684073646,0.020406070549630846,0.8357330561766759
0.002587814684073646,0.02061115668580804,0.8354694463494468
0.002613628296882361,0.02061115668580804,0.835234302669092
0.002613628296882361,0.020713699753896638,0.8351418395683993
0.0026265351032867183,0.020713699753896638,0.8348667039664192
0.0026265351032867183,0.020816242821985236,0.8348574690525312
0.002632988506488897,0.020816242821985236,0.834810610373649
0.0026394419096910757,0.02091878589007383,0.8347346005350839
0.0026394419096910757,0.021123872026251024,0.8347126812026084
0.0026458953128932544,0.021123872026251024,0.8346406814947789
0.0026458953128932544,0.02132895816242822,0.8344748986836116
0.002652348716095433,0.02132895816242822,0.8344531497983888
0.002652348716095433,0.021431501230516816,0.8344248211112314
0.0026652555224997905,0.021431501230516816,0.8342626519891196
0.0026652555224997905,0.021534044298605413,0.8342257856189517
0.002671708925701969,0.02163658736669401,0.8341514219070415
0.0026781623289041474,0.02163658736669401,0.8341110076385205
0.0026781623289041474,0.021739130434782608,0.8340031023927731
0.002684615732106326,0.021739130434782608,0.8339669532923212
0.002684615732106326,0.021841673502871205,0.833898478344962
0.0027168827481172195,0.021841673502871205,0.8336615674470407
0.0027168827481172195,0.021944216570959803,0.8336297835057538
0.002729789554521577,0.021944216570959803,0.8336248927669099
0.002729789554521577,0.0220467596390484,0.8335982049378086
0.002768509973734649,0.0220467596390484,0.8334631952418982
0.002768509973734649,0.022251845775225595,0.8334187560909069
0.0027814167801390064,0.022251845775225595,0.8333151440226829
0.0027814167801390064,0.022354388843314192,0.8331910115227545
0.002787870183341185,0.022354388843314192,0.833083844548792
0.002787870183341185,0.02245693191140279,0.833074143639471
0.0028136837961498995,0.02245693191140279,0.8330074833553126
0.0028136837961498995,0.022662018047579984,0.8329118734570725
0.002826590602554257,0.022662018047579984,0.8328613937762795
0.002826590602554257,0.02276456111566858,0.832831254496592
0.0028588576185651503,0.02276456111566858,0.8324786199299251
0.0028588576185651503,0.022969647251845776,0.8323349175451297
0.002865311021767329,0.022969647251845776,0.8323126555390833
0.002865311021767329,0.023072190319934373,0.8322894290459752
0.002865311021767329,0.023482362592288763,0.8321748334300715
0.002884671231373865,0.023482362592288763,0.8319685727205742
0.002884671231373865,0.02358490566037736,0.8319132554436905
0.002904031440980401,0.02358490566037736,0.8315277412459013
0.002904031440980401,0.023687448728465954,0.8315219630558264
0.0029169382473847585,0.023687448728465954,0.8313408302239382
0.0029169382473847585,0.02378999179655455,0.8313406821817071
0.002936298456991294,0.02378999179655455,0.8310163078128401
0.002936298456991294,0.02389253486464315,0.8309796184099829
0.002942751860193473,0.02389253486464315,0.830889530112731
0.002942751860193473,0.023995077932731746,0.8307089055136416
0.0029492052633956515,0.023995077932731746,0.8306034096758614
0.0029492052633956515,0.024097621000820343,0.83052895786956
0.00295565866659783,0.024097621000820343,0.8304733727053221
0.00295565866659783,0.02420016406890894,0.8304440367278381
0.002962112069800009,0.02420016406890894,0.8303353747360409
0.002962112069800009,0.024302707136997538,0.8303121935381973
0.0029685654730021876,0.024302707136997538,0.8302561556950625
0.0029685654730021876,0.024507793273174733,0.8301234776874068
0.002981472279406545,0.024507793273174733,0.8295597253067487
0.002981472279406545,0.024712879409351927,0.8294411070524055
0.0029879256826087237,0.024712879409351927,0.8294197358378818
0.0029879256826087237,0.024815422477440525,0.8289278731451997
0.0029943790858109024,0.024815422477440525,0.8287752963856787
0.0029943790858109024,0.024917965545529122,0.8287010063382255
0.0030137392954174384,0.024917965545529122,0.8275901879912407
0.0030137392954174384,0.025123051681706317,0.8268863760839392
0.0030911801338435823,0.025123051681706317,0.8248949019971105
0.0030911801338435823,0.025225594749794914,0.8247734282134764
0.0031299005530566544,0.025225594749794914,0.8236247393392763
0.0031299005530566544,0.025533223954060706,0.8229519877200633
0.003162167569067548,0.025533223954060706,0.8208709582121411
0.003162167569067548,0.025635767022149304,0.8206597513918213
0.003181527778674084,0.025635767022149304,0.8194165137344102
0.003181527778674084,0.0257383100902379,0.8190582758467103
0.0031944345850784413,0.0257383100902379,0.8187842257980857
0.0031944345850784413,0.02645611156685808,0.8170287687695209
0.0032008879882806196,0.02645611156685808,0.8167663962694711
0.0032008879882806196,0.026661197703035273,0.814963903249525
0.003213794794684977,0.026661197703035273,0.812925741815878
0.003213794794684977,0.02676374077112387,0.8123339099641468
0.003233155004291513,0.02676374077112387,0.8088147180144108
0.003233155004291513,0.026968826907301065,0.8070988366716849
0.003252515213898049,0.026968826907301065,0.8061852838006656
0.003252515213898049,0.027071369975389663,0.8058265644366522
0.003258968617100228,0.027071369975389663,0.8051659495691703
0.003258968617100228,0.02717391304347826,0.804378226701441
0.0032654220203024065,0.02717391304347826,0.803195819744009
0.0032654220203024065,0.027276456111566857,0.8019413208736362
0.0032912356331111212,0.027276456111566857,0.7968430564203396
0.0032912356331111212,0.027378999179655455,0.790610754032344
0.0032976890363133,0.027378999179655455,0.79026416012568
0.0032976890363133,0.02758408531583265,0.7889897035904928
0.003317049245919836,0.02758408531583265,0.7860378622814176
0.003317049245919836,0.027686628383921247,0.7858409732939419
0.003329956052324193,0.027686628383921247,0.7832704026406371
0.003329956052324193,0.027789171452009844,0.7832183415695045
0.003368676471537265,0.027789171452009844,0.7775214856935576
0.003368676471537265,0.02789171452009844,0.7763104578193845
0.003375129874739444,0.02789171452009844,0.7751210387513369
0.003375129874739444,0.02799425758818704,0.7727058162406667
0.0033815832779416225,0.02799425758818704,0.7724784471029227
0.0033815832779416225,0.028096800656275636,0.7718760993611251
0.0034009434875481586,0.028096800656275636,0.7504516713166037
0.0034009434875481586,0.02830188679245283,0.7308303507162655
0.003484837729176481,0.02830188679245283,0.7143953365514215
0.003484837729176481,0.028814602132895818,0.7099021817350819
0.003510651341985196,0.028814602132895818,0.6974541349997645
0.003510651341985196,0.028917145200984415,0.6966026345221078
0.0035429183579960893,0.028917145200984415,0.6815519628228156
0.0035429183579960893,0.029019688269073012,0.6726599370796877
0.003704253438050556,0.029019688269073012,0.6313174365214399
0.003704253438050556,0.02912223133716161,0.6310947566117939
0.0037300670508592705,0.02912223133716161,0.6302569803324783
0.0037300670508592705,0.029224774405250203,0.6301904558605422
0.0037946010828810574,0.029224774405250203,0.6290294835414272
0.0037946010828810574,0.0293273174733388,0.6289889180600673
0.003846228308498487,0.0293273174733388,0.6281972317476711
0.003846228308498487,0.029429860541427398,0.627720133491246
